nom_du_projet,resume_du_projet,montant_engage,numero_dossier_ds,numero_ej,numero_operateur,opérateur,demarche,nom_region,nom_departement,code_departement,siret_beneficiaire,raison_sociale_beneficiaire,forme juridique_beneficiaire,code_commune,nom_commune
Étude reconnexion du Blosne amont au Blosne aval en zone péri-urbaine,"Le Blosne est un cours d'eau emblématique des environs de Rennes dont l'évolution a notamment été marquée par sa mise en dalot sur le tiers aval de son parcours (environ 7km), permettant la construction de ""zone d'urbanisation prioritaire"" du Blosne et de la rocade sud de Rennes à la fin des années 1960. 
Aujourd'hui le dalot constitue un point dur pour la continuité écologique (piscicole et sédimentaire) et déconnecte le Blosne amont (plutôt rural et péri-urbain) du Blosne aval à Apigné. Par ailleurs, le dalot reçoit les eaux pluviales des quartiers sud de Rennes qui connaissent des inondations fréquentes. 
Le projet vise à analyser les possibilités de reconnexion du Blosne amont au Blosne aval via la création d'un nouveau tracé. L'étude globale a vocation à porter une réflexion générale sur la restauration de la fonctionnalité des milieux aquatiques, la protection des inondations et la gestion des eaux pluviales. Cette approche est nécessaire dans la mesure ou l'imbrication entre le cours d'eau et le réseau Eaux Pluviales (EP) est forte, le dalot étant à la fois un cours d'eau et un réseau EP, configuration caractéristique des contextes péri-urbains. 
Les objectifs recherchés par cette étude sont de restaurer un cours d'eau du Blosne qui soit fonctionnel, restaurer la qualité et la quantité d'eau, pour ensuite favoriser la biodiversité au sein du cours d'eau, et des zones humides adjacentes qui seront restaurées. Plus largement, cette étude vise à améliorer l'ensemble de la trame verte et bleue.
A ce stade, s'agissant d'une étude, il n'est pas possible  d'indiquer le linéaire exact de cours d'eau restauré, la surface de zones d'expansion de crue recréée ou encore la surface de zones humides restaurées.
Une première demande de subvention portant sur le lot 1 ""étude hydraulique""  a été effectué en août 2023. Après analyse des offres, le montant serait de 166 900 € HT. 
La présente demande de subvention porte sur les lot 2 ""campagne hydrométrique"" et lot 3 "" campagne qualité de l'eau "", pour un montant estimé à 49 700 € HT. Ces lots vont alimenter l'étude car vont permettre de disposer d'une chronique annuelle de données qui sera utilisée pour la construction du modèle hydraulique et d'une chronique annuelle de suivis de la qualité de l'eau pour mieux comprendre le fonctionnement du bassin versant et l'imbrication avec le réseau pluvial. ",39760.00,15155978,,240015901,AELB,Renaturation des villes et des villages,Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35238,Rennes
REHABILITATION ET EXTENSION DU RESTAURANT SCOLAIRE,"Le projet consiste en l’extension et la réhabilitation du restaurant scolaire pour répondre aux nouveaux besoins de la commune tout en gardant l’emplacement stratégique de l’équipement actuel.

Le programme prévoit ainsi la production de 600/700 repas (pour 420 repas actuellement), la production des repas par les services de la ville. La minimisation de l’impact carbone est au cœur de ce projet. Afin de répondre à cette démarche, la ville de Vezin-le-Coquet, accompagnée par un groupement de maitrise d’œuvre, travaille précisément sur la qualité de l’enveloppe de son bâtiment (qualité thermique et acoustique), sur une utilisation de matériaux biosourcés et sur une optimisation de son matériel de production, avec comme objectif, la réduction des consommations énergétiques et le confort des usagers. Le bâtiment cherche à se rapprocher autant que possible des attentes du label « Bâtiment passif / PASSIV HAUS »
",300000.00,12318369,2104296857,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350353500014,,,35353,Vezin-le-Coquet
Restructuration intérieure fonctionnelle et énergétique du restaurant d'enfants municipal (restaurant scolaire),"La commune d’Acigné a engagé depuis de nombreuses années un important programme de rénovation des bâtiments municipaux visant à moderniser et à adapter les équipements publics à l’augmentation de la population, aux évolutions des services publics et des pratiques associatives, scolaires et périscolaires, mais aussi à améliorer significativement leurs performances énergétiques. Dans ce cadre, observant que le Restaurant d’Enfants Municipal (REM) est en limite de capacité pour un temps de service organisé sur une pause méridienne de 2h15, la commune d’Acigné a décidé d’engager la restructuration de cet établissement. Il a été établi un projet de restructuration intérieure fonctionnelle et énergétique de ce restaurant scolaire qui prévoit en première phase :  
•	de réorganiser totalement les locaux pour rationnaliser la production et le service de repas et d’optimiser la maintenance et l’entretien des locaux, 
•	D’intervenir sur les équipements techniques et l’enveloppe thermique de cet établissement permettant d’obtenir, d’après l’étude thermique : Un Cep projet < Cep réf -20%, avec un gain de 41.24% par rapport à l’état initial (EP),  avec un gain de 71.59% par rapport à l’état initial (EF) et une division par 6 des émissions de gaz à effet de serre

",238208.60,11453071,2104293885,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350001000011,COMMUNE DE ACIGNE,Commune et commune nouvelle,35001,Acigné
EXTENSION ET RENOVATION DE L'ECOLE MATERNELLE DE LA HAYE-RENAUD,"Le projet a pour objectif d'agrandir la capacité d'accueil de l'école maternelle de la Haye-Renaud et de ""profiter"" de cette extension pour procéder à la rénovation complète des bâtiments existants. L'objectif environnemental est un élément fort de cette rénovation avec la réduction de 80 % des consommations énergétiques sur l'ensemble du groupe scolaire, l'utilisation de matériaux biosourcés, l'installation de panneaux photovoltaïques et la végétalisation de la cour et création de zones d'ombrage.
Les autres objectifs sont l'accessibilité avec un accès vélo, l'amélioration des conditions de travail avec un traitement acoustique et l'éclairage naturel.",280000.00,11348584,2104293887,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350024200259,COMMUNE DE BETTON,Commune et commune nouvelle,35024,Betton
Restructuration cité mixte François René de Chateaubriand,"La restructuration de la cité mixte François René de Chateaubriand à Combourg est une opération, en co-portage avec la Région Bretagne, qui répond à plusieurs objectifs : l’adaptation des locaux pour faire face à l’augmentation des effectifs, la suppression des bâtiments modulaires après extension des locaux existants, l’amélioration des conditions d’enseignement, des conditions de travail des personnels,  des conditions de sécurité et d’accessibilité. Pour la réalisation de cette opération,  la Région et le Département ont conclu une convention de délégation de maîtrise d'ouvrage pour confier au Département la conduite de l'opération. Le Département a confié à la SPL via une convention de mandat le soin de réaliser en son nom et pour son compte cette opération.
Ce projet s’inscrit dans une démarche de développement durable forte s’appuyant sur des enjeux et engagements précis et quantifiés.
",1000000.00,20101617,2104561083,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,22350001800013,DEPARTEMENT D ILLE ET VILAINE,Département,35238,Rennes
Groupe Scolaire Guyenne - Maternelle et Restauration - Restructuration ,"Le programme de construction répond principalement à la volonté d’accompagner la croissance des effectifs scolaires sur le quartier de Villejean – Beauregard en lien notamment avec la politique de renouvellement urbain impulsée sur ce quartier et de  rattraper le  retard pour la rénovation de ce groupe scolaire dont la dernière remonte à une trentaine d’années.
Le projet vise également à améliorer le fonctionnement de cette école par la création de locaux plus adaptés aux
différents besoins (scolaires, périscolaires, parents).

La volonté de performance énergétique est marquée pour cet équipement, avec un objectif d’atteinte du niveau E3C1 du référentiel E+C- pour l'extension et le niveau BBC rénovation pour la partie en restructuration (baisse de 40% du Cep).

Pour répondre à cet objectif de sobriété énergétique et de ""réduction carbone"", l'extension sera basée sur une construction bois en R+1, isolée à l'aide d'isolants biosourcés (principalement laine de bois) et bardée de bois. Une ventilation de type double flux avec échangeurs à récupération d’énergie sera généralisée dans les locaux. Le bâtiment existant sera isolé par l'extérieur, les menuiseries extérieures seront remplacées par des menuiseries performantes. Des panneaux photovoltaïques bas carbone seraient installés en toiture haute.",750000.00,11318520,2104324173,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35238,Rennes
Rénovation et extension du restaurant municipal de CHEVAIGNÉ,"La Commune de Chevaigné a décidé d’engager un projet de rénovation et d’extension du restaurant scolaire municipal.
Deux cuisiniers préparent en régie les repas à destination des enfants des deux écoles de la Commune, des enseignants et des personnels travaillant pour la Commune.
Aujourd’hui, le restaurant municipal prépare en moyenne 260 repas par jour et accueillent 250 enfants (hors mercredi et vacances scolaires).
Le projet consiste en l’agrandissement du restaurant municipal afin de pouvoir y faire déjeuner 436 enfants (124 maternelles et 312 élémentaires en 2 services).
L’objectif du projet assigné à la maîtrise d’œuvre est de réaliser a minima 30 % d’économie d’énergie par rapport au bâtiment existant, et de pourvoir à l’évolution de la démographie de la Commune.
Le projet a pour but également d'améliorer les conditions de production et de distribution des repas.",300000.00,11502496,2104512692,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350079600015,COMMUNE DE CHEVAIGNE,Commune et commune nouvelle,35079,Chevaigné
Réhabilitation de l’ancienne mairie en épicerie,"La municipalité souhaite assurer aux Langanais un accès aux services essentiels à la vie en territoire rural. Après s'être mobilisée pour l’installation d’un boulanger, d’un boucher et d'un café, leur mettant en location des locaux à faible loyer, la commune souhaite permettre l’installation d’une épicerie. 
Pour cela le bâtiment qui abritait l'ancienne mairie sera réhabilité avec une livraison prévue en 2024. L'architecture extérieure a été pensée en lien avec l'architecte conseil du Département d'Ille-et-Vilaine, pour respecter l'esprit de la destination initiale du bâtiment (hangar agricole), la démarche municipale de préservation de l'architecture locale à proximité de l'église et apporter une touche de modernité.
Il sera demandé au porteur de projet de présenter une offre de produits diversifiés pour tous budgets, en complémentarité de l’offre de service existante, de mettre en avant les circuits courts avec des producteurs locaux/bio.",116000.00,13444472,2104324524,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350144800012,COMMUNE DE LANGAN,Commune et commune nouvelle,35144,Langan
TRAVAUX DE RENOVATION THERMIQUE HALLE DES SPORTS,"L’équipement sportif de la Halle des Sports de Cesson-Sévigné a été construite en 1991. 
Cet équipement accueille toutes les classes du lycée Sévigné, le collège en pratique UNSS, les classes de l’école Bourgchevreuil, l’école des sports ainsi que les associations sportives pour la pratique du handball, basket-ball, badminton et l’escalade.
Des travaux de rénovation de la toiture s’avèrent nécessaires (désordres étanchéité et solidité) et permettront de réduire significativement l’empreinte énergétique du bâtiment. 

Voir description dans le document Projet_HalleDesSports.pdf",100000.00,13667701,2104413921,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350051500019,COMMUNE DE CESSON SEVIGNE,Commune et commune nouvelle,35051,Cesson-Sévigné
Réhabilitation d'une maison d'habitation en commerce et logement.,réhabilitation ancien commerce en commerce de proximité et création d'un logement locatif social ,80000.00,13008176,2104293548,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350058000013,COMMUNE DE LA CHAPELLE CHAUSSEE,Commune et commune nouvelle,35058,La Chapelle-Chaussée
Collège Duguay Trouin - Rénovation énergétique ,"Le collège Duguay Trouin situé au 5 rue Henri Lemarie à SAINT-MALO a été construit au début des années 1970. La dernière restructuration concerne le remplacement des menuiseries en 2002. Jusqu’à aujourd’hui, ce bâtiment accueil des élèves d’enseignement général et des élèves SEGPA. Le Département d’Ille-et-Vilaine souhaite améliorer ce bâtiment dans une démarche de performance énergétique et environnementale en recherchant  la réduction des consommations énergétiques et des rejets de gaz à effet de serre, l'optimisation des charges énergétiques, l'amélioration du confort d’usage (qualité de l’air, confort thermique). Les travaux porteront sur l'isolation thermique par l’extérieur, l'isolation des toitures terrasse, le remplacement des menuiseries extérieures, l'installation de ventilation, l'amélioration du réseau de chauffage et la réfection globale de la chaufferie : chaudières, pompes, régulation, l'installation d’une GTB et le remplacement des luminaires par des éclairages Led  . Des travaux connexes tels que la reconstruction des sanitaires raccordés au réseau EP et la restructuration-extension du préau et le réaménagement de la cour sont prévus .",907880.00,12161232,2104295152,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,22350001800013,DEPARTEMENT D ILLE ET VILAINE,Département,35238,Rennes
Travaux d’extension et de réhabilitation du restaurant scolaire municipal,Le projet consiste à réaliser une extension de la production sur une surface de 280m² et la rénovation énergétique du bâtiment existant en transformant notamment la cuisine en salle de restauration. Les objectifs environnementaux sont ambitieux avec une amélioration énergétique du bâtiment existant intégrant des matériaux biosourcés et la production d’énergie renouvelable avec des panneaux photovoltaïques en toiture. ,200000.00,16034945,2104366884,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350275000085,COMMUNE DE SAINT GILLES,Commune et commune nouvelle,35275,Saint-Gilles
Rénovation énergétique de 2 salles de classes du groupe scolaire Léonard de Vinci,"Depuis plus de 10 ans, la commune travaille avec l’ALEC pour améliorer l’efficacité énergétique de ses bâtiments, en particulier du groupe scolaire qui est l’un des principaux sites consommateurs d'énergie. Les premières interventions significatives ont consisté à changer la chaudière (2020), à renouveler l’éclairage intérieur par des équipements leds (2021) et à poser de nouvelles baies vitrées (2022). Outre sa superficie (3.900 m²), le groupe scolaire se caractérise par l’hétérogénéité de ses bâtiments construits à des périodes différentes. Les plus anciens sont 3 bâtiments construits au début du 20iéme siècle et correspondant à la première école. D'une grande qualité architecturale,  ils sont classés 3 étoiles au recensement du patrimoine bâti d’intérêt local du PLUi de Rennes Métropole. Ils comprennent un ancien logement de fonction (vacant), un préau et 2 salles de classes. Ces dernières, bien que vétustes, sont régulièrement utilisées pour des rendez-vous d’élèves avec des spécialistes (orthophoniste, psychologue, éducateurs, etc…). Elles servent également pour des cours de musique et de couture. Afin de répondre aux besoins de l’école liés à l’augmentation de la population scolaire, et alors que les prix de l’énergie explosent, la commune a décidé procéder à leur rénovation énergétique.
",84000.00,11957148,2104295302,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350120800010,COMMUNE DE GEVEZE,Commune et commune nouvelle,35120,Gévezé
Crématorium-Actions retenues dans le cadre de la politique de sobriété énergétique.,"Les études de l’extension du crématorium ont été l'opportunité pour la réalisation d'un audit énergétique du bâtiment principal afin de répondre à l'ambition 7 du PCAET ""Améliorer la performance énergétique et écologique des services publics"".
Il en est ressorti des actions à mener :
	Amélioration des performances de l'éclairage par des technologies de type LED
	Mise en place de ventilation simple flux basse consommation et horloge
	Mise en place de sous-compteurs
	Remplacement de l'échangeur et du ballon de stockage
",30000.00,16843715,2104540155,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,24350013900171,RENNES METROPOLE,Métropole,35238,Rennes
Réhabilitation et rénovation énergétique de l'enveloppe d'un logement communal conventionné,"Le dossier porte sur la rénovation énergétique totale d'un logement communal conventionné, ayant été rénové une première fois en 1993 par la commune. La règlementation thermique de l'époque qui n'imposait pas réellement de normes à respecter, classe aujourd'hui ce logement en ""G"".
L'objectif de la commune est de : 
- réduire les dépenses énergétiques
- améliorer le confort
- augmenter la valeur du patrimoine
La commune est également sensible au respect de la faible empreinte environnementale en ayant sélectionné des matériaux biosourcés, telle que la laine de coton.",26400.00,17030361,2104512553,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350200800013,COMMUNE DE MOUTIERS,Commune et commune nouvelle,35200,Moutiers
Extension de l'école du CHêne Centenaire (Remplacement de 2 classes modulaires énergivores et amiantéées par des locaux neufs),"Le projet de la commune de Nouvoitou concerne des travaux d'extension des locaux de l'école du Chêne Centenaire avec la création de 378 m² de plancher au total. Ces nouveaux locaux comprennent en particulier 4 classes et un atelier. Deux de ces classes sont construites en remplacement d'un bâtiment modulaire vieillissant, amianté et énergivore exploité depuis 35 ans, impossible à rénover. Ce bâtiment modulaire abrite deux classes et présente une superficie de 143 m². La présente demande de subvention porte sur la reconstruction de ces deux classes, qui permettra une réduction de 73,5% de la consommation d'énergie finale et une réduction de 50% des émissions de gaz à effet de serre par mètre carré de surface de plancher. Le confort d'été dans ces nouveaux locaux fait également l'objet d'une attention particulière.",100000.00,18256268,2104560748,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350204000016,COMMUNE DE NOUVOITOU,Commune et commune nouvelle,35204,Nouvoitou
Rénovation d’un bâtiment patrimonial au cœur d’un nouveau quartier d’habitat groupé en centre-ville afin d’y installer une salle d’animation sénior et des logements intergénérationnels,"Le projet d’aménagement de l’ancienne propriété des Sœurs située remonte à plusieurs années. La commune a acquis cet ensemble architectural en 2011 afin de créer un lieu dédié à l’intergénérationnel, en partenariat avec un bailleur social. 
Trois espaces distincts seront aménagés :
-	le jardin avant accueillera 4 logements mitoyens répartis 2 par 2 de chaque côté de l’allée centrale
-	le jardin arrière accueillera un petit collectif de 10 logements sur 2 étages
-	la maison existante sera transformée en une salle d’animation au rez-de-chaussée et 2 logements sociaux dans les étages
C’est ainsi 16 logements (T2 et T3) qui verront le jour en plein centre-ville d’ici 2023, permettant de créer un nouveau quartier urbain, dense mais végétalisé.
Neotoa construira et gèrera les nouvelles constructions, qui seront destinées à des séniors ou personnes en perte d’autonomie, tandis que la mairie financera les travaux de la maison existante. 
",200000.00,11983298,2104296806,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350136400011,COMMUNE DE JANZE,Commune et commune nouvelle,35136,Janzé
Collège Clotilde Vautier à Rennes - Rénovation énergétique ,"Le collège Clotilde Vautier situé au 8 rue de la Motte Brûlon à Rennes a été construit en 1969.La dernière restructuration de 2005 /Le Département d’Ille-et-Vilaine souhaite améliorer ce bâtiment dans une démarche de performance énergétique et environnementale en recherchant la réduction des consommations énergétiques et des rejets de gaz à effet de serre, l' optimisation des charges énergétiques, l'amélioration du confort d’usage (qualité de l’air, confort thermique). Les travaux porteront sur: l'isolation thermique par l'extérieur, l'isolation des toitures et des planchers bas, le remplacement des menuiseries extérieures, l'installation de ventilation , l'installation d’une GTB, la réfection des sous-stations et des circuits secondaires de chauffage, le remplacement des luminaires par des éclairages Led. Des travaux connexes tels que la reconstruction de sanitaires raccordés au réseau EP, la restructuration-extension du préau, le traitement de la cour et l'accessibilité PMR sont prévus.",1030033.00,12160489,2104295150,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,22350001800013,DEPARTEMENT D ILLE ET VILAINE,Département,35238,Rennes
Rénovation thermique d'un bâtiment communal,"Rénovation thermique d'un bâtiment communal afin d'y créer un espace jeune au rez-de-chaussée et d'augmenter, à l'étage, la capacité du couchage du centre d'hébergement ",150000.00,19996679,2104540130,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350132300017,COMMUNE DE HIREL,Commune et commune nouvelle,35132,Hirel
"Lycée Pierre Mendès France - Mise en sécurité, restructuration et rénovation énergétique des ateliers pédagogiques Externat – Bâtiment C","Cette opération concerne la mise en sécurité, la rénovation énergétique et la restructuration des ateliers pédagogiques au sein du bâtiment C, devant recevoir le Pôle Energétique, le Pôle Métallerie et le Pôle Bois et matériaux associés.
A la suite de cette opération, l’enseignement de la filière Génie-Civil des BTS s'installera dans le nouveau bâtiment.
Une analyse environnementale de l’ensemble du site a été confiée au bureau d’études AFCE en novembre 2010.
Ce programme fait également suite aux différents échanges et études de faisabilité élaborées entre 2010 et 2022.
Les interventions prévues dans le programme concernent la mise aux normes, la rénovation énergétique et la réorganisation des ateliers pédagogiques rattachés au bâtiment C, ainsi que les aménagements intérieurs et extérieurs, les raccordements, les déconstructions, les installations temporaires et les déménagements nécessaires à la réalisation de ce projet.",1450911.00,18417317,2104557451,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,23350001600040,REGION BRETAGNE,Région,35238,Rennes
Réhabilitation complète d'un bâtiment ancien et de son annexe - Maison Rouge,"Le projet constitue un projet structurant pour le territoire, prioritaire en matière de solidarités humaines : le social (accueil de services sociaux, épicerie solidaire), l'accès aux services (permanence de France service). Le choix de la rénovation est un choix environnemental car l'opération permet l'économie d'une dépense carbone liée à la construction des fondations, de la structure du bâtiment et d'une démolition.

Des études en vue de réhabiliter un bâtiment de caractère, classé 2* au PBIL. Cet ensemble représente 450 m 2 environ et permettra d'accueillir :
•	L'espace de vie sociale (service social, permanences « France Services » etc...)
•	L'épicerie solidaire dans un espace dédié et adapté. Ce service bénéficie actuellement aux foyers grégoriens et chapellois.
•	6 logements pour les étudiants ou jeunes actifs (studio/T1/T1bis) avec des loyers minorés en contrepartie de la participation des locataires à l'animation du lieu.
",200000.00,12043151,2104504282,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350278400019,COMMUNE DE SAINT GREGOIRE,Commune et commune nouvelle,35278,Saint-Grégoire
Rénovation énergétique de l'hôtel de ville,"L'hôtel de ville construit en 1988 dont les combles ont été aménagés en 2002, n’a pas connu de rénovation énergétique depuis sa création. Il est actuellement vieillissant (fuites, inconfort été/hiver, non sécurisé et très déperditif).
Des travaux réalisés en 2017 ont permis de remplacer le système de chauffage et d’installer une régulation pilotée à distance. 
L’orientation principale de cette opération est l’amélioration énergétique du bâti par la rénovation de l’enveloppe du bâtiment. Pour répondre à cet objectif, les travaux suivants ont été ciblés :
-	Isolation technique par l’extérieur
-	Remplacement des menuiseries 
-	Optimisation de la verrière (réduction de la surface vitrée, remplacement des vitrages…)
-	Traitement des ponts thermiques
-	Installation de panneaux solaires photovoltaïques (en option).",500000.00,14828206,2104504286,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350047300011,COMMUNE DE BRUZ,Commune et commune nouvelle,35047,Bruz
Réhabilitation thermique et fonctionnelle du groupe scolaire Guy Gérard (tranche ferme),"Afin d’anticiper les besoins futurs et d’imaginer l’école Guy Gérard de demain, le projet a pour ambition, dans un premier temps d’engager des travaux de restructuration et d’amélioration thermique du groupe scolaire « Guy Gérard » comprenant la partie école élémentaire, la partie maternelle et la restauration scolaire à la fois sur le volet fonctionnel, technique et énergétique. ",362469.00,11432024,2104316613,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350210700013,COMMUNE DE PACE,Commune et commune nouvelle,35210,Pacé
Réhabilitation et extension d'un pôle enfance jeunesse,,170000.00,11661076,2104294818,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350080400108,COMMUNE DE CINTRE,Commune et commune nouvelle,35080,Cintré
Réhabilitation d'une ancienne école et d'une ancienne mairie,"le projet consiste en la rénovation d'une ancienne école et ancienne mairie pour en faire des bureaux d'activité qui hébergeront l'institut du Gallo à compter de l'été 2024.
le bâtiment servait dernièrement d’accueil au Club des jeunes et va subir une rénovation complète.",100000.00,12484411,2104297322,,,Rénovation énergétique des bâtiments publics locaux,Bretagne,Ille-et-Vilaine,35,21350189300019,COMMUNE DE MONTGERMONT,Commune et commune nouvelle,35189,Montgermont
Étude de définition et dimensionnement des aires de covoiturage,"L'étude vise à :
- recenser les aires de covoiturage existantes, informelles ou en projet sur un périmètre d'un rayon de 40 km autour de la rocade rennaise et de ses pôles générateurs de déplacements;
- à les hiérarchiser en fonction de la pertinence de leur localisation pour identifier les plus structurantes ;
- à proposer des aménagements pour les aires structurantes prioritaires.
L'objectif est d'identifier au maximum 25 aires structurantes et d'en proposer une harmonisation des aménagements et niveaux de service afin de promouvoir le développement du covoiturage sur les déplacements entre les EPCI et Rennes Métropole, et de consolider la solution du covoiturage en lien avec la mise en oeuvre de la ZFE de Rennes Métropole (intra-rocade).",60000.00,18121646,2104446409,,,Accompagnement du déploiement des zones à faibles émissions mobilité (ZFE),Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35238,Rennes
Mise en place d'un service de covoiturage zonal,"Le développement du covoiturage constitue un objectif majeur du PDU de Rennes Métropole et correspond à sa stratégie de limiter l'autosolisme des voitures entrant sur son périmètre territorial et permet également d'atteindre son objectif climat (PCAET) en lien avec la mise en place de la ZFE. 
Pour développer cette pratique, Rennes Métropole souhaite proposer un nouveau service de covoiturage planifié courte distance en passant un marché avec un opérateur de covoiturage national. 
Ce service s'inscrit en complémentarité avec les autres solutions mises en place (OuestGo, ligne de covoiturage Start'1) et propose une solution sur l'aire urbaine élargie et permet de proposer une alternative aux restrictions de circulation mises en place avec la ZFE. ",448152.50,18067444,2104465002,,,Accompagnement du déploiement des zones à faibles émissions mobilité (ZFE),Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35238,Rennes
Signalisation ZFE (Panneaux + installation),"Rennes Métropole doit mettre en place dune ZFE-m avant le 31 décembre 2024.
Afin de matérialiser le périmètre de cette ZFE-m et de rendre l'information lisible pour les conducteurs, des panneaux de signalisation doivent être installés selon la réglementation en vigueur. Ces panneaux vont être mis en place par Rennes Métropole  pour matérialiser les entrées/sorties de la ZFE-m et rappeler les vignettes Crit’air autorisées à circuler dans la ZFE-m.
Une étude est en cours pour préciser les points d'implantation des panneaux: à ce stade, environ 152 panneaux sont prévus.
L'étude étant en cours, les coûts estimés restent prévisionnels et pourraient évoluer.",80000.00,18100423,2104464994,,,Accompagnement du déploiement des zones à faibles émissions mobilité (ZFE),Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35238,Rennes
Recharge pour Véhicules Electriques dans les parcs relais,"Rennes Métropole à décidé l'achat d'équipement et l'aménagement de parcs relais permettant de réduire les émissions polluantes du transport de personnes dans le périmètre de la ZFE et améliorer la qualité de l'air (selon le PCAET).
L'installation de ces Recharges de Véhicules Electrique concernent les 5 parcs-Relais situés sur le territoire de Rennes métropole",112255.66,18255002,2104446573,,,Accompagnement du déploiement des zones à faibles émissions mobilité (ZFE),Bretagne,Ille-et-Vilaine,35,24350013900080,RENNES METROPOLE,Métropole,35238,Rennes
Système de régulation du co-voiturage des parcs relais souterrains de la ligne (a) du métro de Rennes,"Le système de régulation du covoiturage dans les 3 parcs-relais de la ligne (a) du métro (Villejean-Université, JF. Kennedy et H. Fréville), qui figure dans le Contrat Métropolitain de Relance et de Transition Ecologique (CMRTE) signé avec l'Etat, la Région Bretagne, le Département d'Ille-et-vilaine et Rennes Métropole. Rattaché à l'axe II ""Engager une nouvelle révolution des transports"", il consiste à étendre la réservation de places aux co-voitureurs dans les 3 derniers parcs-relais des 8 parkings, via un dispositif innovant déjà déployé fin 2023 dans 5 d'entre eux (La Poterie, le parking extérieur des Préales et les 3 parcs-relais de la ligne b du métro). 
Ce système constitue un véritable levier d’action sur la pratique du covoiturage.
Le projet a pour objet de développer un système innovant de détection et de gestion automatique des entrées et des sorties des véhicules covoitureurs ou non dans les parcs relais.",200000.00,19594741,2104557348,,,Accompagnement du déploiement des zones à faibles émissions mobilité (ZFE),Bretagne,Ille-et-Vilaine,35,24350013900080,RENNES METROPOLE,Métropole,35238,Rennes
Etude de réhabilitation des sols d'une ancienne carrosserie,"Par convention opérationnelle du 19 décembre 2013, la commune de Plouay
a chargé l’EPF Bretagne de procéder à l’acquisition et au portage d’un ensemble
foncier dans le secteur de la rue du Patronage à Plouay dans le but d’y réaliser une
opération de renouvellement urbain à dominante d’habitat.
Par acte en date du 29/11/2022, l'EPF Bretagne a acquis la parcelle AD 186, sis 1, rue de Bellevue, d'une contenance de 838 m², anciennement à usage de carrosserie.
Une partie de cette emprise (parcelle AD 398 issue de la division de la parcelle AD 186) a été cédée depuis.
L'EPF Bretagne reste propriétaire de la parcelle AD 397 d'une contenance de 775 m²
Le bailleur social Morbihan Habitat a réalisé une étude d'aménagement de ce site consistant en la construction neuve de 3 logements.
",21812.00,15871233,2104471757,,,Recyclage foncier,Bretagne,Morbihan,56,51418579200025,ETABLISSEMENT PUBLIC FONCIER BRETAGNE,Établissement public national à caractère industriel ou commercial doté d'un comptable public,35238,Rennes
